id,nama,province_id
405,Buton Utara,27
406,Kolaka,27
407,Kolaka Timur,27
408,Kolaka Utara,27
409,Konawe,27
410,Konawe Kepulauan,27
411,Konawe Selatan,27
412,Konawe Utara,27
413,Muna,27
414,Muna Barat,27
415,Wakatobi,27
416,Bau-bau,27
417,Kendari,27
418,Banggai,28
419,Banggai Kepulauan,28
420,Banggai Laut,28
421,Buol,28
422,Donggala,28
423,Morowali,28
424,Morowali Utara,28
425,Parigi Moutong,28
426,Poso,28
427,Sigi,28
428,Tojo Una-Una,28
429,Toli Toli,28
430,Palu,28
431,Bolaang Mangondow,29
432,Bolaang Mangondow Se,29
433,Bolaang Mangondow Ti,29
434,Bolaang Mangondow Ut,29
435,Kepulauan Sangihe,29
436,Kepulauan Siau Tagul,29
437,Kepulauan Talaud,29
438,Minahasa,29
439,Minahasa Selatan,29
440,Minahasa Tenggara,29
441,Minahasa Utara,29
442,Bitung,29
443,Kotamobagu,29
444,Manado,29
445,Tomohon,29
446,Majene,30
447,Mamasa,30
448,Mamuju,30
449,Mamuju Tengah,30
450,Mamuju Utara,30
451,Polewali Mandar,30
452,Buru,31
453,Buru Selatan,31
454,Kepulauan Aru,31
455,Maluku Barat Daya,31
456,Maluku Tengah,31
457,Maluku Tenggara,31
458,Maluku Tenggara Bara,31
459,Seram Bagian Barat,31
460,Seram Bagian Timur,31
461,Ambon,31
462,Tual,31
463,Halmahera Barat,32
464,Halmahera Selatan,32
465,Halmahera Tengah,32
466,Halmahera Timur,32
467,Halmahera Utara,32
468,Kepulauan Sula,32
469,Pulau Morotai,32
470,Ternate,32
471,Pulau Taliabu,32
472,Tidore Kepulauan,32
473,Fakfak,33
474,Kaimana,33
475,Manokwari,33
476,Maybrat,33
477,Monokwari Selatan,33
478,Pegunungan Arfak,33
479,Raja Ampat,33
480,Sorong,33
481,Sorong Selatan,33
482,Tambrauw,33
483,Teluk Bintuni,33
484,Teluk Wondama,33
485,Sorong,33
486,Merauke,34
487,Jayawijaya,34
488,Nabire,34
489,Kepulauan Yapen,34
490,Biak Numfor,34
491,Paniai,34
492,Puncak Jaya,34
493,Mimika,34
494,Boven Digoel,34
495,Mappi,34
496,Asmat,34
497,Yahukimo,34
498,Pegunungan Bintang,34
499,Tolikara,34
500,Sarmi,34
501,Keerom,34
502,Waropen,34
503,Jayapura,34
504,Deiyai,34
505,Dogiyai,34
506,Intan Jaya,34
507,Lanny Jaya,34
508,Mamberamo Raya,34
509,Mamberamo Tengah,34
510,Nduga,34
511,Puncak,34
512,Supiori,34
513,Yalimo,34
514,Jayapura,34
515,Toba Samosir,2
